request,priority
Medical assistance required at location Y,urgent
Power outage in sector 5,normal
Road blocked due to fallen trees,normal
Need food and water at location X,urgent
"Flood water receding, area safe",safe
All safe now,safe
Road blocked due to fallen trees,normal
Evacuation needed immediately,emergency
Power outage in sector 5,normal
Medical assistance required at location Y,urgent
Supplies running low at shelter,urgent
Power outage in sector 5,normal
All safe now,safe
All safe now,safe
Volunteers needed for cleaning debris,normal
Road blocked due to fallen trees,normal
Medical assistance required at location Y,urgent
Need food and water at location X,urgent
Need food and water at location X,urgent
Road blocked due to fallen trees,normal
Fire near school area,emergency
Supplies running low at shelter,urgent
All safe now,safe
All safe now,safe
All safe now,safe
Evacuation needed immediately,emergency
Fire near school area,emergency
Supplies running low at shelter,urgent
Volunteers needed for cleaning debris,normal
"Flood water receding, area safe",safe
All safe now,safe
Medical assistance required at location Y,urgent
Road blocked due to fallen trees,normal
"Flood water receding, area safe",safe
Volunteers needed for cleaning debris,normal
Evacuation needed immediately,emergency
Fire near school area,emergency
All safe now,safe
Evacuation needed immediately,emergency
All safe now,safe
Fire near school area,emergency
Medical assistance required at location Y,urgent
All safe now,safe
"Flood water receding, area safe",safe
Medical assistance required at location Y,urgent
Evacuation needed immediately,emergency
Fire near school area,emergency
Supplies running low at shelter,urgent
"Flood water receding, area safe",safe
Power outage in sector 5,normal
Evacuation needed immediately,emergency
Medical assistance required at location Y,urgent
Need food and water at location X,urgent
Fire near school area,emergency
Supplies running low at shelter,urgent
Need food and water at location X,urgent
"Flood water receding, area safe",safe
Need food and water at location X,urgent
Volunteers needed for cleaning debris,normal
Fire near school area,emergency
Evacuation needed immediately,emergency
Evacuation needed immediately,emergency
Supplies running low at shelter,urgent
Volunteers needed for cleaning debris,normal
Power outage in sector 5,normal
Evacuation needed immediately,emergency
Medical assistance required at location Y,urgent
Need food and water at location X,urgent
Road blocked due to fallen trees,normal
Supplies running low at shelter,urgent
Need food and water at location X,urgent
Fire near school area,emergency
Volunteers needed for cleaning debris,normal
Supplies running low at shelter,urgent
Fire near school area,emergency
Supplies running low at shelter,urgent
"Flood water receding, area safe",safe
Power outage in sector 5,normal
Need food and water at location X,urgent
All safe now,safe
All safe now,safe
Need food and water at location X,urgent
Fire near school area,emergency
Evacuation needed immediately,emergency
Volunteers needed for cleaning debris,normal
Supplies running low at shelter,urgent
Volunteers needed for cleaning debris,normal
Fire near school area,emergency
All safe now,safe
All safe now,safe
"Flood water receding, area safe",safe
Evacuation needed immediately,emergency
Fire near school area,emergency
Road blocked due to fallen trees,normal
Power outage in sector 5,normal
Volunteers needed for cleaning debris,normal
Power outage in sector 5,normal
Volunteers needed for cleaning debris,normal
Need food and water at location X,urgent
Power outage in sector 5,normal
Road blocked due to fallen trees,normal
Volunteers needed for cleaning debris,normal
Need food and water at location X,urgent
"Flood water receding, area safe",safe
Medical assistance required at location Y,urgent
Road blocked due to fallen trees,normal
Road blocked due to fallen trees,normal
Fire near school area,emergency
Supplies running low at shelter,urgent
"Flood water receding, area safe",safe
Fire near school area,emergency
Power outage in sector 5,normal
Fire near school area,emergency
All safe now,safe
Evacuation needed immediately,emergency
Evacuation needed immediately,emergency
All safe now,safe
"Flood water receding, area safe",safe
Road blocked due to fallen trees,normal
"Flood water receding, area safe",safe
Road blocked due to fallen trees,normal
Evacuation needed immediately,emergency
Road blocked due to fallen trees,normal
Power outage in sector 5,normal
All safe now,safe
Supplies running low at shelter,urgent
Power outage in sector 5,normal
Road blocked due to fallen trees,normal
Fire near school area,emergency
Evacuation needed immediately,emergency
Medical assistance required at location Y,urgent
Power outage in sector 5,normal
Power outage in sector 5,normal
Need food and water at location X,urgent
Road blocked due to fallen trees,normal
"Flood water receding, area safe",safe
All safe now,safe
Fire near school area,emergency
Medical assistance required at location Y,urgent
Road blocked due to fallen trees,normal
Road blocked due to fallen trees,normal
"Flood water receding, area safe",safe
Supplies running low at shelter,urgent
All safe now,safe
Volunteers needed for cleaning debris,normal
Medical assistance required at location Y,urgent
Supplies running low at shelter,urgent
Supplies running low at shelter,urgent
All safe now,safe
Medical assistance required at location Y,urgent
Fire near school area,emergency
Road blocked due to fallen trees,normal
"Flood water receding, area safe",safe
Medical assistance required at location Y,urgent
Road blocked due to fallen trees,normal
Volunteers needed for cleaning debris,normal
All safe now,safe
Road blocked due to fallen trees,normal
All safe now,safe
Volunteers needed for cleaning debris,normal
Fire near school area,emergency
All safe now,safe
Medical assistance required at location Y,urgent
Fire near school area,emergency
Medical assistance required at location Y,urgent
Need food and water at location X,urgent
Evacuation needed immediately,emergency
Volunteers needed for cleaning debris,normal
Evacuation needed immediately,emergency
Need food and water at location X,urgent
"Flood water receding, area safe",safe
Fire near school area,emergency
All safe now,safe
All safe now,safe
Medical assistance required at location Y,urgent
Road blocked due to fallen trees,normal
All safe now,safe
Volunteers needed for cleaning debris,normal
All safe now,safe
Road blocked due to fallen trees,normal
Road blocked due to fallen trees,normal
Road blocked due to fallen trees,normal
Power outage in sector 5,normal
Need food and water at location X,urgent
"Flood water receding, area safe",safe
Medical assistance required at location Y,urgent
All safe now,safe
Medical assistance required at location Y,urgent
All safe now,safe
Volunteers needed for cleaning debris,normal
Need food and water at location X,urgent
All safe now,safe
Road blocked due to fallen trees,normal
Supplies running low at shelter,urgent
Road blocked due to fallen trees,normal
Medical assistance required at location Y,urgent
Power outage in sector 5,normal
Power outage in sector 5,normal
All safe now,safe
Power outage in sector 5,normal
Road blocked due to fallen trees,normal
Evacuation needed immediately,emergency
Supplies running low at shelter,urgent
Evacuation needed immediately,emergency
Medical assistance required at location Y,urgent
Supplies running low at shelter,urgent
Supplies running low at shelter,urgent
Need food and water at location X,urgent
"Flood water receding, area safe",safe
All safe now,safe
Volunteers needed for cleaning debris,normal
"Flood water receding, area safe",safe
"Flood water receding, area safe",safe
Power outage in sector 5,normal
All safe now,safe
Volunteers needed for cleaning debris,normal
Medical assistance required at location Y,urgent
Evacuation needed immediately,emergency
"Flood water receding, area safe",safe
"Flood water receding, area safe",safe
Fire near school area,emergency
"Flood water receding, area safe",safe
Need food and water at location X,urgent
Volunteers needed for cleaning debris,normal
Need food and water at location X,urgent
Evacuation needed immediately,emergency
Supplies running low at shelter,urgent
Road blocked due to fallen trees,normal
Evacuation needed immediately,emergency
Need food and water at location X,urgent
Evacuation needed immediately,emergency
Need food and water at location X,urgent
Supplies running low at shelter,urgent
Fire near school area,emergency
All safe now,safe
Supplies running low at shelter,urgent
Volunteers needed for cleaning debris,normal
"Flood water receding, area safe",safe
Medical assistance required at location Y,urgent
Evacuation needed immediately,emergency
Need food and water at location X,urgent
"Flood water receding, area safe",safe
Volunteers needed for cleaning debris,normal
Volunteers needed for cleaning debris,normal
Supplies running low at shelter,urgent
Medical assistance required at location Y,urgent
Power outage in sector 5,normal
Volunteers needed for cleaning debris,normal
Need food and water at location X,urgent
Supplies running low at shelter,urgent
Medical assistance required at location Y,urgent
Supplies running low at shelter,urgent
Supplies running low at shelter,urgent
Medical assistance required at location Y,urgent
"Flood water receding, area safe",safe
Volunteers needed for cleaning debris,normal
All safe now,safe
Evacuation needed immediately,emergency
"Flood water receding, area safe",safe
"Flood water receding, area safe",safe
Supplies running low at shelter,urgent
All safe now,safe
Road blocked due to fallen trees,normal
Road blocked due to fallen trees,normal
Road blocked due to fallen trees,normal
Need food and water at location X,urgent
Need food and water at location X,urgent
Need food and water at location X,urgent
Fire near school area,emergency
All safe now,safe
Supplies running low at shelter,urgent
Fire near school area,emergency
"Flood water receding, area safe",safe
Medical assistance required at location Y,urgent
Supplies running low at shelter,urgent
Volunteers needed for cleaning debris,normal
Road blocked due to fallen trees,normal
Road blocked due to fallen trees,normal
Power outage in sector 5,normal
Need food and water at location X,urgent
Medical assistance required at location Y,urgent
Volunteers needed for cleaning debris,normal
Need food and water at location X,urgent
Medical assistance required at location Y,urgent
"Flood water receding, area safe",safe
Evacuation needed immediately,emergency
Medical assistance required at location Y,urgent
Volunteers needed for cleaning debris,normal
Volunteers needed for cleaning debris,normal
Volunteers needed for cleaning debris,normal
Supplies running low at shelter,urgent
All safe now,safe
Supplies running low at shelter,urgent
"Flood water receding, area safe",safe
"Flood water receding, area safe",safe
Supplies running low at shelter,urgent
Need food and water at location X,urgent
Supplies running low at shelter,urgent
Medical assistance required at location Y,urgent
"Flood water receding, area safe",safe
